audio_id,question_id,wpm,pause_count,speech_duration,word_count,average_pause,silence_ratio,long_pause_count,filler_count,repetition_count,hesitation_label
AUD_32,Spontaneous,123,8,62.0,182,,,,,,High
AUD_33,Reading,161,2,62.74,94,,,,,,Medium
AUD_34,Reading,130,11,55.83,179,,,,,,Medium
AUD_35,Spontaneous,167,6,47.18,52,,,,,,High
AUD_36,Reading,92,2,52.02,199,,,,,,Medium
AUD_37,Reading,98,7,89.27,153,,,,,,High
AUD_38,Spontaneous,160,8,72.48,82,,,,,,High
AUD_39,Spontaneous,146,9,50.14,81,,,,,,High
AUD_40,Spontaneous,140,14,52.01,160,,,,,,Medium
AUD_41,Spontaneous,145,13,54.97,66,,,,,,Medium
AUD_42,Spontaneous,174,4,66.15,169,,,,,,Medium
AUD_43,Spontaneous,149,4,52.62,131,,,,,,Medium
AUD_44,Reading,148,12,68.03,52,,,,,,High
AUD_45,Reading,158,2,43.04,119,,,,,,Medium
AUD_46,Spontaneous,168,13,48.74,167,,,,,,Medium
AUD_47,Spontaneous,114,4,80.48,80,,,,,,High
AUD_48,Reading,146,6,43.02,198,,,,,,Medium
AUD_49,Spontaneous,143,7,87.51,65,,,,,,High
AUD_50,Spontaneous,102,4,32.08,66,,,,,,High
AUD_51,Reading,137,5,36.92,145,,,,,,High
AUD_52,Reading,96,6,52.46,178,,,,,,Medium
AUD_53,Spontaneous,107,6,75.82,161,,,,,,Medium
AUD_54,Spontaneous,172,10,71.21,151,,,,,,High
AUD_55,Reading,101,9,32.21,121,,,,,,Medium
AUD_56,Spontaneous,142,2,36.57,115,,,,,,High
AUD_57,Reading,119,3,60.27,160,,,,,,High
AUD_58,Reading,140,13,40.66,86,,,,,,High
AUD_59,Spontaneous,111,6,49.56,140,,,,,,Medium
AUD_60,Reading,130,13,54.06,133,,,,,,Medium
AUD_61,Reading,168,4,61.6,160,,,,,,Medium
AUD_62,Reading,124,8,37.57,111,,,,,,High
AUD_63,Spontaneous,122,12,31.42,70,,,,,,High
AUD_64,Spontaneous,130,7,47.9,155,,,,,,Medium
AUD_65,Spontaneous,99,3,25.74,86,,,,,,High
AUD_66,Reading,125,9,56.87,84,,,,,,Medium
AUD_67,Reading,91,6,78.77,192,,,,,,Medium
AUD_68,Spontaneous,135,7,28.33,163,,,,,,Medium
AUD_69,Reading,166,9,27.89,143,,,,,,Medium
AUD_70,Reading,140,14,25.62,53,,,,,,High
AUD_71,Spontaneous,145,7,79.35,156,,,,,,Medium
AUD_72,Reading,93,11,25.65,128,,,,,,High
AUD_73,Reading,167,4,88.84,72,,,,,,High
AUD_74,Reading,125,14,45.08,154,,,,,,High
AUD_75,Reading,178,8,43.01,64,,,,,,Medium
AUD_76,Reading,101,5,26.41,189,,,,,,High
AUD_77,Reading,175,14,60.99,177,,,,,,Medium
AUD_78,Spontaneous,147,7,61.01,131,,,,,,High
AUD_79,Spontaneous,95,7,54.57,170,,,,,,Medium
AUD_80,Reading,177,12,41.77,137,,,,,,Low
AUD_81,Spontaneous,91,6,45.8,128,,,,,,Medium
AUD_82,Spontaneous,156,14,42.44,68,,,,,,High
AUD_83,Spontaneous,170,2,49.83,118,,,,,,High
AUD_84,Reading,106,9,43.93,181,,,,,,High
AUD_85,Spontaneous,121,14,67.29,59,,,,,,High
AUD_86,Reading,141,11,40.71,189,,,,,,High
AUD_87,Spontaneous,151,3,44.56,184,,,,,,High
AUD_88,Spontaneous,168,5,50.48,93,,,,,,Medium
AUD_89,Reading,158,14,20.28,51,,,,,,High
AUD_90,Spontaneous,123,13,54.45,143,,,,,,Medium
AUD_91,Reading,164,4,37.91,165,,,,,,Medium
AUD_92,Spontaneous,177,7,23.93,118,,,,,,High
AUD_93,Spontaneous,110,12,83.77,197,,,,,,Low
AUD_94,Spontaneous,97,2,42.57,157,,,,,,High
AUD_95,Spontaneous,128,10,49.83,119,,,,,,Medium
AUD_96,Reading,169,6,77.91,123,,,,,,Medium
AUD_97,Reading,104,6,31.68,129,,,,,,Medium
AUD_98,Spontaneous,170,5,79.52,147,,,,,,Medium
AUD_99,Reading,179,5,36.91,149,,,,,,Medium
AUD_100,Spontaneous,95,14,61.23,107,,,,,,High
AUD_101,Reading,135,14,68.0,182,,,,,,Medium
AUD_102,Reading,120,2,83.35,196,,,,,,Medium
AUD_103,Reading,125,10,62.53,81,,,,,,High
AUD_104,Spontaneous,131,10,51.73,170,,,,,,Medium
AUD_105,Reading,157,14,60.06,52,,,,,,Medium
AUD_106,Reading,143,5,34.15,178,,,,,,Medium
AUD_107,Spontaneous,177,11,68.24,97,,,,,,Medium
AUD_108,Spontaneous,120,11,33.08,182,,,,,,Medium
AUD_109,Spontaneous,139,5,59.01,126,,,,,,High
AUD_110,Reading,163,13,65.33,60,,,,,,Medium
AUD_111,Reading,124,8,82.9,71,,,,,,Medium
AUD_112,Reading,132,5,51.51,61,,,,,,High
AUD_113,Reading,152,2,74.27,102,,,,,,Medium
AUD_114,Reading,167,12,31.73,104,,,,,,Medium
AUD_115,Reading,127,14,30.93,102,,,,,,High
AUD_116,Spontaneous,138,10,56.74,70,,,,,,High
AUD_117,Reading,178,3,61.74,68,,,,,,Medium
AUD_118,Reading,94,6,64.26,137,,,,,,Medium
AUD_119,Reading,130,5,72.2,143,,,,,,Medium
AUD_120,Spontaneous,147,9,40.65,115,,,,,,Medium
AUD_121,Reading,91,7,63.58,108,,,,,,High
AUD_122,Spontaneous,144,8,33.17,108,,,,,,Medium
AUD_123,Reading,95,3,35.33,52,,,,,,Medium
AUD_124,Spontaneous,167,5,24.71,165,,,,,,High
AUD_125,Spontaneous,163,5,72.29,107,,,,,,High
AUD_126,Spontaneous,93,13,55.49,111,,,,,,Medium
AUD_127,Reading,94,14,36.67,195,,,,,,High
AUD_128,Spontaneous,158,3,58.94,175,,,,,,Medium
AUD_129,Reading,123,11,44.8,86,,,,,,Medium
AUD_130,Spontaneous,142,5,78.6,162,,,,,,High
AUD_131,Reading,114,10,56.97,144,,,,,,Medium
AUD_132,Spontaneous,106,9,22.09,127,,,,,,High
AUD_133,Spontaneous,117,12,88.96,191,,,,,,Medium
AUD_134,Reading,112,2,25.2,154,,,,,,High
AUD_135,Spontaneous,130,14,68.72,54,,,,,,Medium
AUD_136,Reading,157,9,50.61,144,,,,,,Medium
AUD_137,Spontaneous,140,12,37.45,178,,,,,,Medium
AUD_138,Spontaneous,145,10,67.35,112,,,,,,High
AUD_139,Reading,132,9,28.81,69,,,,,,High
AUD_140,Reading,119,11,80.08,92,,,,,,Medium
AUD_141,Reading,103,2,37.54,134,,,,,,High
AUD_142,Spontaneous,122,9,45.3,143,,,,,,Low
AUD_143,Reading,150,13,64.29,91,,,,,,High
AUD_144,Reading,156,6,20.07,157,,,,,,Medium
AUD_145,Spontaneous,132,10,53.09,143,,,,,,Medium
AUD_146,Reading,148,10,82.6,123,,,,,,High
AUD_147,Reading,109,7,67.63,158,,,,,,Medium
AUD_148,Spontaneous,167,4,47.15,164,,,,,,Medium
AUD_149,Spontaneous,168,13,66.23,174,,,,,,Medium
AUD_150,Spontaneous,119,8,85.56,55,,,,,,Medium
AUD_151,Spontaneous,139,4,33.15,172,,,,,,Medium
AUD_152,Spontaneous,145,8,57.23,91,,,,,,High
AUD_153,Reading,133,9,36.43,107,,,,,,High
AUD_154,Spontaneous,172,6,79.8,59,,,,,,Medium
AUD_155,Spontaneous,157,6,70.47,138,,,,,,Medium
AUD_156,Spontaneous,151,5,76.08,127,,,,,,High
AUD_157,Reading,137,4,86.01,160,,,,,,Low
AUD_158,Reading,98,13,36.26,88,,,,,,Medium
AUD_159,Reading,100,9,23.41,190,,,,,,Medium
AUD_160,Reading,117,12,40.36,60,,,,,,High
AUD_161,Spontaneous,109,7,47.94,159,,,,,,High
AUD_162,Spontaneous,176,7,63.76,65,,,,,,Medium
AUD_163,Spontaneous,127,3,75.84,82,,,,,,High
AUD_164,Reading,169,5,44.49,108,,,,,,High
AUD_165,Spontaneous,164,6,53.14,100,,,,,,Medium
AUD_166,Reading,163,12,74.98,64,,,,,,Low
AUD_167,Reading,109,11,35.77,92,,,,,,Medium
AUD_168,Reading,130,6,35.2,76,,,,,,Medium
AUD_169,Spontaneous,119,4,61.25,105,,,,,,Medium
AUD_170,Spontaneous,177,11,50.52,170,,,,,,High
AUD_171,Spontaneous,169,6,86.42,162,,,,,,High
AUD_172,Spontaneous,112,6,44.99,109,,,,,,High
AUD_173,Reading,118,3,73.17,164,,,,,,Medium
AUD_174,Spontaneous,138,6,60.82,158,,,,,,Medium
AUD_175,Reading,115,4,23.82,161,,,,,,Medium
AUD_176,Reading,164,4,25.91,149,,,,,,High
AUD_177,Reading,164,6,34.22,57,,,,,,Medium
AUD_178,Reading,155,10,30.02,184,,,,,,Medium
AUD_179,Reading,152,3,43.06,130,,,,,,High
AUD_180,Reading,139,10,60.53,179,,,,,,Medium
AUD_181,Reading,121,4,62.17,194,,,,,,High
AUD_182,Spontaneous,165,14,61.14,170,,,,,,High
AUD_183,Spontaneous,167,13,28.23,53,,,,,,High
AUD_184,Reading,94,8,62.02,75,,,,,,High
AUD_185,Spontaneous,126,13,48.68,127,,,,,,Medium
AUD_186,Spontaneous,92,2,83.21,121,,,,,,Medium
AUD_187,Spontaneous,166,2,83.84,182,,,,,,Medium
AUD_188,Spontaneous,106,9,73.77,177,,,,,,Medium
AUD_189,Reading,151,10,69.22,54,,,,,,High
AUD_190,Spontaneous,122,4,28.05,140,,,,,,High
AUD_191,Reading,163,7,25.93,118,,,,,,Medium
AUD_192,Reading,136,4,78.86,52,,,,,,High
AUD_193,Spontaneous,119,7,49.89,143,,,,,,Medium
AUD_194,Spontaneous,119,8,51.6,50,,,,,,High
AUD_195,Reading,119,6,79.35,185,,,,,,Medium
AUD_196,Reading,161,4,63.5,62,,,,,,Medium
AUD_197,Spontaneous,154,9,32.56,161,,,,,,Medium
AUD_198,Spontaneous,119,14,34.77,57,,,,,,Medium
AUD_199,Reading,134,6,20.45,162,,,,,,Medium
AUD_200,Spontaneous,97,2,69.75,128,,,,,,Medium
AUD_201,Reading,164,13,53.99,171,,,,,,Medium
AUD_202,Reading,114,10,86.5,123,,,,,,High
AUD_203,Reading,170,4,69.98,176,,,,,,High
AUD_204,Reading,144,3,27.22,162,,,,,,Medium
AUD_205,Spontaneous,141,4,31.31,101,,,,,,High
AUD_206,Reading,105,8,55.12,170,,,,,,High
AUD_207,Reading,96,13,84.74,82,,,,,,Medium
AUD_208,Spontaneous,140,12,37.31,122,,,,,,High
AUD_209,Spontaneous,132,13,77.79,145,,,,,,High
AUD_210,Reading,101,11,41.86,86,,,,,,Medium
AUD_211,Spontaneous,165,9,38.89,118,,,,,,Medium
AUD_212,Spontaneous,128,3,83.1,181,,,,,,High
AUD_213,Reading,113,14,23.31,109,,,,,,High
AUD_214,Spontaneous,161,8,66.25,123,,,,,,High
AUD_215,Spontaneous,172,12,23.02,80,,,,,,High
AUD_216,Spontaneous,118,6,76.05,63,,,,,,High
AUD_217,Spontaneous,160,10,78.06,109,,,,,,Medium
AUD_218,Spontaneous,149,8,82.53,117,,,,,,Low
AUD_219,Reading,179,2,33.03,177,,,,,,Medium
AUD_220,Spontaneous,108,2,28.71,75,,,,,,High
AUD_221,Reading,176,7,55.25,186,,,,,,High
AUD_222,Reading,118,10,39.01,84,,,,,,Medium
AUD_223,Spontaneous,127,2,62.44,155,,,,,,Medium
AUD_224,Spontaneous,122,4,55.96,73,,,,,,High
AUD_225,Spontaneous,114,14,30.14,132,,,,,,High
AUD_226,Spontaneous,152,6,71.75,85,,,,,,Medium
AUD_227,Spontaneous,143,5,76.26,150,,,,,,High
AUD_228,Spontaneous,118,2,87.41,83,,,,,,High
AUD_229,Spontaneous,102,11,47.69,170,,,,,,Medium
AUD_230,Spontaneous,119,5,43.64,88,,,,,,High
AUD_231,Spontaneous,124,5,33.46,72,,,,,,High
AUD_232,Spontaneous,124,12,32.66,129,,,,,,Medium
AUD_233,Spontaneous,122,13,42.47,119,,,,,,Medium
AUD_234,Spontaneous,94,11,88.73,108,,,,,,High
AUD_235,Reading,132,14,26.46,71,,,,,,Low
AUD_236,Spontaneous,165,5,38.16,158,,,,,,High
AUD_237,Reading,106,4,26.02,160,,,,,,High
AUD_238,Reading,103,8,39.15,137,,,,,,Medium
AUD_239,Spontaneous,132,2,26.47,89,,,,,,Medium
AUD_240,Reading,123,3,55.58,134,,,,,,High
AUD_241,Spontaneous,141,2,50.68,143,,,,,,High
AUD_242,Spontaneous,175,5,32.18,60,,,,,,High
AUD_243,Reading,158,6,32.24,166,,,,,,Medium
AUD_244,Spontaneous,152,12,63.83,58,,,,,,Medium
AUD_245,Reading,127,11,47.1,61,,,,,,Medium
AUD_246,Reading,116,6,23.93,87,,,,,,High
AUD_247,Spontaneous,139,3,84.41,180,,,,,,High
AUD_248,Reading,170,12,48.35,175,,,,,,Medium
AUD_249,Reading,169,4,61.37,192,,,,,,Medium
AUD_250,Spontaneous,130,5,81.98,182,,,,,,High
AUD_251,Reading,112,11,48.15,103,,,,,,Medium
AUD_252,Spontaneous,110,7,77.45,73,,,,,,Medium
AUD_253,Spontaneous,93,7,84.03,188,,,,,,High
AUD_254,Spontaneous,166,13,32.18,170,,,,,,Medium
AUD_255,Spontaneous,114,3,82.47,168,,,,,,High
AUD_256,Reading,122,3,28.39,123,,,,,,High
AUD_257,Spontaneous,163,10,39.26,170,,,,,,Medium
AUD_258,Reading,101,13,76.57,177,,,,,,High
AUD_259,Reading,132,3,83.05,93,,,,,,High
AUD_260,Spontaneous,101,3,67.89,139,,,,,,High
AUD_261,Spontaneous,130,4,27.34,61,,,,,,Medium
AUD_262,Spontaneous,94,10,56.61,52,,,,,,Medium
AUD_263,Reading,137,7,60.08,99,,,,,,Low
AUD_264,Spontaneous,162,12,39.73,157,,,,,,Medium
AUD_265,Reading,151,13,89.39,65,,,,,,High
AUD_266,Spontaneous,136,7,43.49,76,,,,,,High
AUD_267,Spontaneous,165,13,34.72,172,,,,,,Medium
AUD_268,Reading,110,11,27.71,119,,,,,,High
AUD_269,Reading,165,6,46.5,91,,,,,,High
AUD_270,Spontaneous,115,8,68.48,187,,,,,,Medium
AUD_271,Spontaneous,123,12,36.2,174,,,,,,High
AUD_272,Spontaneous,102,5,73.87,185,,,,,,Medium
AUD_273,Reading,99,11,29.48,195,,,,,,High
AUD_274,Spontaneous,174,11,50.83,194,,,,,,Medium
AUD_275,Spontaneous,107,4,69.17,107,,,,,,High
AUD_276,Reading,120,8,29.47,155,,,,,,Medium
AUD_277,Spontaneous,138,11,61.85,115,,,,,,High
AUD_278,Reading,121,2,75.93,133,,,,,,Medium
AUD_279,Reading,168,7,61.69,58,,,,,,High
AUD_280,Spontaneous,171,14,55.8,154,,,,,,High
AUD_281,Spontaneous,119,12,78.68,138,,,,,,High
AUD_282,Reading,98,12,88.98,138,,,,,,High
AUD_283,Reading,109,12,32.69,137,,,,,,High
AUD_284,Spontaneous,133,3,68.39,55,,,,,,High
AUD_285,Reading,116,3,25.65,172,,,,,,High
AUD_286,Reading,131,12,23.0,123,,,,,,Medium
AUD_287,Spontaneous,158,9,39.66,152,,,,,,Medium
AUD_288,Reading,128,4,87.96,195,,,,,,Medium
AUD_289,Reading,108,10,58.65,82,,,,,,Medium
AUD_290,Reading,122,5,38.78,196,,,,,,High
AUD_291,Reading,157,7,29.28,136,,,,,,Medium
AUD_292,Reading,128,2,84.41,118,,,,,,High
AUD_293,Reading,112,12,45.37,173,,,,,,High
AUD_294,Spontaneous,128,11,41.47,75,,,,,,High
AUD_295,Spontaneous,131,11,80.06,55,,,,,,High
AUD_296,Spontaneous,117,4,62.31,88,,,,,,Medium
AUD_297,Spontaneous,180,5,31.8,53,,,,,,High
AUD_298,Reading,159,6,49.51,177,,,,,,High
AUD_299,Spontaneous,152,14,84.98,107,,,,,,Medium
AUD_300,Reading,167,2,83.08,97,,,,,,Low
AUD_301,Spontaneous,150,5,24.91,109,,,,,,Medium
AUD_302,Reading,161,6,38.8,75,,,,,,Medium
AUD_303,Spontaneous,127,5,30.82,126,,,,,,Medium
AUD_304,Reading,135,11,57.37,135,,,,,,Medium
AUD_305,Spontaneous,94,11,72.5,172,,,,,,Medium
AUD_306,Spontaneous,115,8,40.69,105,,,,,,High
AUD_307,Spontaneous,123,9,73.06,88,,,,,,High
AUD_308,Spontaneous,146,13,66.81,130,,,,,,Medium
AUD_309,Spontaneous,132,9,70.98,74,,,,,,High
AUD_310,Reading,145,4,86.38,176,,,,,,High
AUD_311,Spontaneous,154,14,49.72,198,,,,,,High
AUD_312,Reading,94,6,43.98,74,,,,,,Medium
AUD_313,Spontaneous,113,11,67.87,138,,,,,,High
AUD_314,Spontaneous,105,9,76.53,71,,,,,,Medium
AUD_315,Spontaneous,107,8,33.4,72,,,,,,Medium
AUD_316,Reading,135,10,79.28,79,,,,,,Medium
AUD_317,Spontaneous,157,14,24.05,152,,,,,,Low
AUD_318,Spontaneous,115,11,20.45,126,,,,,,High
AUD_319,Reading,164,8,31.09,122,,,,,,High
AUD_320,Reading,170,3,88.51,192,,,,,,Medium
AUD_321,Reading,122,5,56.65,144,,,,,,High
AUD_322,Reading,151,13,23.26,144,,,,,,Medium
AUD_323,Spontaneous,101,13,89.8,187,,,,,,High
AUD_324,Reading,157,9,72.14,166,,,,,,High
AUD_325,Reading,105,10,78.66,86,,,,,,High
AUD_326,Spontaneous,152,8,34.91,56,,,,,,Medium
AUD_327,Reading,128,6,27.38,173,,,,,,Medium
AUD_328,Reading,174,2,56.06,81,,,,,,Medium
AUD_329,Reading,132,10,74.05,60,,,,,,High
AUD_330,Spontaneous,93,13,64.64,158,,,,,,High
AUD_331,Reading,133,7,64.17,141,,,,,,Medium
AUD_332,Reading,162,3,73.0,97,,,,,,High
AUD_333,Reading,148,12,35.89,94,,,,,,Medium
AUD_334,Spontaneous,177,11,66.31,144,,,,,,High
AUD_335,Spontaneous,166,11,47.45,82,,,,,,Medium
AUD_336,Reading,137,3,24.88,167,,,,,,High
AUD_337,Spontaneous,109,11,34.15,181,,,,,,Medium
AUD_338,Reading,90,2,75.58,96,,,,,,High
AUD_339,Spontaneous,178,13,82.72,171,,,,,,Medium
AUD_340,Spontaneous,174,5,39.8,102,,,,,,High
AUD_341,Reading,115,11,33.33,175,,,,,,High
AUD_342,Reading,147,12,21.87,76,,,,,,Low
AUD_343,Reading,156,14,86.34,138,,,,,,Medium
AUD_344,Spontaneous,142,3,67.87,85,,,,,,Medium
AUD_345,Reading,166,11,86.99,150,,,,,,High
AUD_346,Spontaneous,97,12,80.47,171,,,,,,Medium
AUD_347,Spontaneous,171,10,43.83,174,,,,,,Medium
AUD_348,Reading,125,3,27.89,108,,,,,,High
AUD_349,Spontaneous,133,12,54.93,72,,,,,,Medium
AUD_350,Spontaneous,130,10,21.88,148,,,,,,Medium
AUD_351,Reading,138,2,30.49,117,,,,,,Medium
AUD_352,Spontaneous,144,8,36.34,141,,,,,,High
AUD_353,Spontaneous,154,7,66.6,154,,,,,,High
AUD_354,Reading,137,7,55.69,91,,,,,,High
AUD_355,Reading,152,3,41.17,190,,,,,,High
AUD_356,Reading,120,2,59.53,178,,,,,,Medium
AUD_357,Spontaneous,174,11,28.76,102,,,,,,High
AUD_358,Spontaneous,96,9,72.9,139,,,,,,Medium
AUD_359,Spontaneous,139,9,69.84,165,,,,,,High
AUD_360,Reading,98,3,35.16,136,,,,,,High
AUD_361,Spontaneous,130,5,62.45,162,,,,,,High
AUD_362,Spontaneous,113,14,55.23,199,,,,,,Medium
AUD_363,Spontaneous,174,14,24.26,164,,,,,,Medium
AUD_364,Reading,91,5,39.47,169,,,,,,Medium
AUD_365,Reading,125,3,89.96,77,,,,,,High
AUD_366,Reading,160,12,26.97,102,,,,,,High
AUD_367,Spontaneous,107,10,55.45,166,,,,,,High
AUD_368,Spontaneous,163,13,79.45,194,,,,,,High
AUD_369,Reading,167,5,41.05,113,,,,,,High
AUD_370,Reading,154,5,38.25,55,,,,,,Low
AUD_371,Spontaneous,109,5,82.36,191,,,,,,Medium
AUD_372,Reading,114,6,41.34,163,,,,,,Medium
AUD_373,Spontaneous,105,11,65.6,177,,,,,,High
AUD_374,Reading,107,13,71.82,66,,,,,,High
AUD_375,Reading,93,13,75.2,87,,,,,,Medium
AUD_376,Reading,167,9,89.63,62,,,,,,Low
AUD_377,Spontaneous,138,5,76.22,161,,,,,,High
AUD_378,Reading,120,4,65.99,186,,,,,,High
AUD_379,Spontaneous,116,12,82.68,176,,,,,,High
AUD_380,Reading,139,2,83.4,155,,,,,,Medium
AUD_381,Reading,119,3,88.12,126,,,,,,Medium
AUD_382,Spontaneous,168,5,74.35,68,,,,,,High
AUD_383,Spontaneous,109,10,33.64,127,,,,,,High
AUD_384,Reading,169,2,69.69,169,,,,,,High
AUD_385,Spontaneous,150,7,25.26,128,,,,,,Medium
AUD_386,Reading,176,7,42.26,125,,,,,,High
AUD_387,Spontaneous,91,11,28.11,150,,,,,,Medium
AUD_388,Spontaneous,95,4,86.5,124,,,,,,High
AUD_389,Reading,135,11,43.71,169,,,,,,High
AUD_390,Reading,172,10,69.93,188,,,,,,High
AUD_391,Spontaneous,156,11,59.99,132,,,,,,Medium
AUD_392,Spontaneous,146,4,27.53,75,,,,,,High
AUD_393,Reading,93,2,59.29,177,,,,,,High
AUD_394,Spontaneous,122,3,66.27,194,,,,,,High
AUD_395,Spontaneous,121,5,81.71,132,,,,,,Medium
AUD_396,Spontaneous,139,5,24.91,93,,,,,,Medium
AUD_397,Spontaneous,113,3,40.69,133,,,,,,High
AUD_398,Reading,114,11,68.46,74,,,,,,High
AUD_399,Reading,146,7,22.4,86,,,,,,Medium
AUD_400,Spontaneous,175,7,34.25,161,,,,,,High
AUD_401,Spontaneous,149,4,35.31,51,,,,,,High
AUD_402,Reading,150,2,66.85,147,,,,,,Medium
AUD_403,Spontaneous,179,11,40.02,81,,,,,,High
AUD_404,Spontaneous,104,10,61.97,138,,,,,,Medium
AUD_405,Spontaneous,93,5,87.57,86,,,,,,Medium
AUD_406,Spontaneous,157,10,75.53,164,,,,,,Medium
AUD_407,Spontaneous,129,6,43.3,190,,,,,,High
AUD_408,Reading,129,8,53.07,52,,,,,,High
AUD_409,Spontaneous,110,4,34.05,89,,,,,,High
AUD_410,Spontaneous,136,4,21.1,123,,,,,,Medium
AUD_411,Spontaneous,130,9,40.28,115,,,,,,High
AUD_412,Reading,121,2,45.86,109,,,,,,High
AUD_413,Spontaneous,130,9,59.51,60,,,,,,High
AUD_414,Spontaneous,125,9,86.08,169,,,,,,High
AUD_415,Reading,175,4,86.35,178,,,,,,High
AUD_416,Reading,178,2,24.91,91,,,,,,Medium
AUD_417,Reading,166,10,63.03,172,,,,,,Medium
AUD_418,Reading,179,5,22.96,141,,,,,,Medium
AUD_419,Spontaneous,114,8,65.37,111,,,,,,Medium
AUD_420,Spontaneous,166,10,28.24,61,,,,,,High
AUD_421,Spontaneous,127,4,86.25,77,,,,,,Medium
AUD_422,Reading,157,6,80.5,156,,,,,,Medium
AUD_423,Spontaneous,108,11,21.56,198,,,,,,Medium
AUD_424,Reading,163,12,74.75,184,,,,,,High
AUD_425,Reading,98,14,64.51,144,,,,,,High
AUD_426,Spontaneous,114,4,54.68,63,,,,,,Medium
AUD_427,Reading,164,6,62.18,167,,,,,,High
AUD_428,Reading,157,12,67.48,175,,,,,,High
AUD_429,Spontaneous,135,3,81.91,152,,,,,,Medium
AUD_430,Spontaneous,151,5,73.72,122,,,,,,High
AUD_431,Reading,107,13,60.28,111,,,,,,Medium
AUD_432,Spontaneous,150,3,77.72,61,,,,,,Medium
AUD_433,Spontaneous,91,4,89.08,87,,,,,,Medium
AUD_434,Reading,165,6,41.01,88,,,,,,High
AUD_435,Reading,136,10,28.29,135,,,,,,High
AUD_436,Spontaneous,175,4,71.2,53,,,,,,High
AUD_437,Spontaneous,133,11,88.5,97,,,,,,High
AUD_438,Reading,129,7,28.17,184,,,,,,Medium
AUD_439,Spontaneous,130,5,50.22,109,,,,,,High
AUD_440,Reading,122,5,24.36,57,,,,,,High
AUD_441,Reading,105,12,74.36,173,,,,,,High
AUD_442,Spontaneous,166,14,86.41,165,,,,,,Medium
AUD_443,Spontaneous,125,11,54.93,107,,,,,,Medium
AUD_444,Spontaneous,138,11,48.67,84,,,,,,High
AUD_445,Spontaneous,92,14,83.54,122,,,,,,Medium
AUD_446,Spontaneous,95,6,29.34,164,,,,,,Medium
AUD_447,Reading,144,12,82.41,62,,,,,,High
AUD_448,Spontaneous,169,8,47.45,88,,,,,,High
AUD_449,Reading,134,12,59.16,133,,,,,,High
AUD_450,Spontaneous,105,5,56.98,70,,,,,,Low
AUD_451,Reading,100,9,63.12,96,,,,,,High
AUD_452,Spontaneous,171,13,85.95,51,,,,,,High
AUD_453,Spontaneous,153,14,86.58,93,,,,,,Medium
AUD_454,Reading,177,10,78.18,79,,,,,,High
AUD_455,Spontaneous,97,10,33.41,177,,,,,,Low
AUD_456,Spontaneous,171,10,43.35,104,,,,,,High
AUD_457,Reading,166,3,54.15,89,,,,,,Medium
AUD_458,Reading,170,4,83.38,146,,,,,,High
AUD_459,Reading,91,6,56.46,141,,,,,,High
AUD_460,Spontaneous,157,13,88.42,73,,,,,,Medium
AUD_461,Reading,139,2,88.87,77,,,,,,Medium
AUD_462,Reading,142,5,61.9,166,,,,,,High
AUD_463,Spontaneous,132,12,81.42,154,,,,,,Medium
AUD_464,Spontaneous,157,6,89.95,142,,,,,,High
AUD_465,Spontaneous,180,10,79.48,147,,,,,,Medium
AUD_466,Spontaneous,154,9,65.98,199,,,,,,Medium
AUD_467,Spontaneous,151,2,79.16,138,,,,,,Medium
