sample_id,speaker_id,age,gender,region,education_level,english_learning_years,task_type,speech_duration_sec,word_count,speaking_rate_wpm,pause_count,pronunciation_score,fluency_score,intonation_score,overall_score,target_level
AUD_22,1769,40,Female,Zhejiang,Undergraduate,9,Spontaneous,38.63,114,139.22,9,89,81,82,84.5,High
AUD_23,1343,27,Male,Jiangsu,Postgraduate,13,Reading,29.06,62,168.83,9,63,95,70,74.7,Medium
AUD_24,1491,27,Male,Jiangsu,Undergraduate,11,Reading,60.43,167,147.6,2,83,67,72,74.89999999999999,Medium
AUD_25,1413,21,Female,Henan,High School,3,Reading,41.44,110,163.73,4,71,90,86,81.2,High
AUD_26,1805,25,Male,Hubei,Undergraduate,6,Spontaneous,66.68,81,92.92,14,97,84,86,89.8,High
AUD_27,1385,39,Male,Sichuan,High School,3,Spontaneous,57.8,189,150.39,7,82,92,61,78.7,High
AUD_28,1191,37,Female,Guangdong,High School,10,Spontaneous,47.48,144,111.03,7,73,73,86,76.9,High
AUD_29,1955,37,Female,Henan,High School,5,Reading,32.73,90,112.76,2,78,96,70,81.0,High
AUD_30,1276,35,Male,Zhejiang,Postgraduate,4,Reading,62.09,185,154.85,3,62,77,62,66.5,Medium
AUD_31,1160,31,Female,Shanghai,Undergraduate,6,Reading,78.05,74,161.41,11,99,85,92,92.69999999999999,High
AUD_32,1459,35,Male,Guangdong,High School,13,Spontaneous,62.0,182,123.46,8,76,70,82,76.0,High
AUD_33,1313,31,Female,Shanghai,Postgraduate,5,Reading,62.74,94,161.11,2,50,54,93,64.1,Medium
AUD_34,1021,37,Female,Beijing,High School,13,Reading,55.83,179,129.94,11,56,75,55,61.400000000000006,Medium
AUD_35,1252,38,Female,Jiangsu,Undergraduate,7,Spontaneous,47.18,52,167.19,6,53,99,92,78.5,High
AUD_36,1747,41,Male,Beijing,Postgraduate,10,Reading,52.02,199,92.24,2,59,72,61,63.5,Medium
AUD_37,1856,32,Male,Hubei,High School,12,Reading,89.27,153,97.51,7,89,93,87,89.6,High
AUD_38,1560,39,Female,Jiangsu,High School,10,Spontaneous,72.48,82,159.87,8,84,82,79,81.9,High
AUD_39,1474,21,Female,Sichuan,High School,13,Spontaneous,50.14,81,146.17,9,88,75,86,83.5,High
AUD_40,1058,30,Female,Guangdong,Undergraduate,9,Spontaneous,52.01,160,140.31,14,65,71,67,67.39999999999999,Medium
AUD_41,1510,44,Male,Shanghai,Postgraduate,10,Spontaneous,54.97,66,145.26,13,76,69,65,70.6,Medium
AUD_42,1681,40,Female,Henan,Postgraduate,7,Spontaneous,66.15,169,173.72,4,69,51,94,71.1,Medium
AUD_43,1475,25,Female,Hubei,Postgraduate,12,Spontaneous,52.62,131,149.0,4,59,90,56,67.4,Medium
AUD_44,1699,35,Female,Sichuan,High School,12,Reading,68.03,52,148.27,12,94,67,95,86.2,High
AUD_45,1975,29,Female,Shanghai,Postgraduate,13,Reading,43.04,119,158.35,2,82,54,50,64.0,Medium
AUD_46,1782,40,Male,Guangdong,High School,14,Spontaneous,48.74,167,168.0,13,56,81,77,69.8,Medium
AUD_47,1189,31,Male,Zhejiang,Undergraduate,13,Spontaneous,80.48,80,113.57,4,91,95,93,92.80000000000001,High
AUD_48,1957,19,Female,Hubei,Postgraduate,8,Reading,43.02,198,145.51,6,93,60,52,70.8,Medium
AUD_49,1686,35,Male,Beijing,High School,10,Spontaneous,87.51,65,142.56,7,95,70,99,88.7,High
AUD_50,1957,41,Male,Beijing,Postgraduate,3,Spontaneous,32.08,66,102.14,4,71,71,92,77.3,High
AUD_51,1562,19,Male,Henan,Postgraduate,8,Reading,36.92,145,136.83,5,92,52,88,78.80000000000001,High
AUD_52,1875,28,Female,Shanghai,Undergraduate,8,Reading,52.46,178,96.26,6,66,58,59,61.5,Medium
AUD_53,1566,26,Male,Shanghai,Postgraduate,13,Spontaneous,75.82,161,106.65,6,58,51,94,66.7,Medium
AUD_54,1243,29,Male,Shanghai,Undergraduate,7,Spontaneous,71.21,151,172.17,10,89,95,63,83.0,High
AUD_55,1831,34,Male,Hubei,Postgraduate,6,Reading,32.21,121,100.73,9,59,77,64,65.9,Medium
AUD_56,1504,32,Female,Guangdong,Postgraduate,3,Spontaneous,36.57,115,142.1,2,85,83,55,75.4,High
AUD_57,1130,42,Female,Zhejiang,Postgraduate,13,Reading,60.27,160,119.11,3,80,59,88,76.1,High
AUD_58,1484,34,Male,Beijing,Postgraduate,12,Reading,40.66,86,139.98,13,80,68,94,80.6,High
AUD_59,1818,43,Male,Sichuan,Postgraduate,13,Spontaneous,49.56,140,111.15,6,54,78,65,64.5,Medium
AUD_60,1646,43,Female,Jiangsu,Postgraduate,10,Reading,54.06,133,129.99,13,67,51,96,70.9,Medium
AUD_61,1020,35,Female,Hubei,Undergraduate,8,Reading,61.6,160,168.06,4,55,97,67,71.19999999999999,Medium
AUD_62,1840,39,Male,Hubei,Undergraduate,5,Reading,37.57,111,123.86,8,91,55,84,78.1,High
AUD_63,1166,23,Male,Guangdong,High School,14,Spontaneous,31.42,70,121.77,12,99,93,97,96.6,High
AUD_64,1273,34,Female,Beijing,Postgraduate,5,Spontaneous,47.9,155,130.15,7,77,56,74,69.8,Medium
AUD_65,1387,40,Female,Henan,Undergraduate,14,Spontaneous,25.74,86,99.04,3,92,85,82,86.9,High
AUD_66,1600,41,Male,Zhejiang,Postgraduate,8,Reading,56.87,84,124.86,9,73,57,82,70.89999999999999,Medium
AUD_67,1315,35,Female,Guangdong,Postgraduate,14,Reading,78.77,192,90.62,6,54,68,68,62.4,Medium
AUD_68,1013,25,Male,Sichuan,Undergraduate,9,Spontaneous,28.33,163,135.31,7,77,59,87,74.6,Medium
AUD_69,1241,26,Male,Beijing,Postgraduate,10,Reading,27.89,143,166.31,9,52,82,60,63.4,Medium
AUD_70,1776,23,Male,Guangdong,Undergraduate,7,Reading,25.62,53,139.69,14,67,86,88,79.0,High
AUD_71,1345,22,Female,Beijing,Undergraduate,12,Spontaneous,79.35,156,144.7,7,53,87,52,62.9,Medium
AUD_72,1564,29,Male,Beijing,High School,8,Reading,25.65,128,92.75,11,89,76,87,84.5,High
AUD_73,1897,42,Male,Henan,High School,14,Reading,88.84,72,167.36,4,98,78,50,77.6,High
AUD_74,1339,28,Female,Hubei,High School,3,Reading,45.08,154,124.65,14,91,68,89,83.5,High
AUD_75,1091,42,Female,Zhejiang,High School,8,Reading,43.01,64,177.74,8,81,67,74,74.7,Medium
AUD_76,1366,18,Male,Hubei,Postgraduate,11,Reading,26.41,189,100.84,5,81,72,81,78.3,High
AUD_77,1955,28,Male,Jiangsu,Postgraduate,12,Reading,60.99,177,175.02,14,68,50,95,70.7,Medium
AUD_78,1454,36,Female,Zhejiang,High School,6,Spontaneous,61.01,131,147.09,7,78,92,85,84.3,High
AUD_79,1427,26,Female,Beijing,Undergraduate,12,Spontaneous,54.57,170,94.71,7,82,52,53,64.30000000000001,Medium
AUD_80,1508,44,Female,Guangdong,Undergraduate,3,Reading,41.77,137,177.45,12,51,59,72,59.7,Low
AUD_81,1775,19,Male,Sichuan,Undergraduate,13,Spontaneous,45.8,128,91.25,6,60,56,65,60.3,Medium
AUD_82,1942,29,Male,Henan,Undergraduate,11,Spontaneous,42.44,68,155.76,14,96,98,60,85.80000000000001,High
AUD_83,1034,21,Male,Zhejiang,Postgraduate,6,Spontaneous,49.83,118,170.06,2,82,75,71,76.60000000000001,High
AUD_84,1205,21,Female,Jiangsu,Undergraduate,4,Reading,43.93,181,105.82,9,90,65,88,81.9,High
AUD_85,1080,35,Male,Beijing,Undergraduate,3,Spontaneous,67.29,59,120.9,14,89,88,82,86.6,High
AUD_86,1931,32,Female,Sichuan,High School,5,Reading,40.71,189,140.51,11,50,94,90,75.2,High
AUD_87,1561,36,Male,Zhejiang,Undergraduate,9,Spontaneous,44.56,184,151.18,3,91,81,87,86.8,High
AUD_88,1871,30,Female,Hubei,Postgraduate,13,Spontaneous,50.48,93,168.47,5,66,61,62,63.3,Medium
AUD_89,1387,36,Male,Hubei,Undergraduate,12,Reading,20.28,51,158.5,14,99,93,70,88.5,High
AUD_90,1001,34,Male,Zhejiang,Undergraduate,4,Spontaneous,54.45,143,122.7,13,65,57,61,61.39999999999999,Medium
AUD_91,1389,23,Female,Zhejiang,Postgraduate,11,Reading,37.91,165,163.95,4,51,57,75,60.0,Medium
AUD_92,1565,33,Female,Zhejiang,High School,14,Spontaneous,23.93,118,176.95,7,98,94,98,96.80000000000001,High
AUD_93,1105,41,Male,Sichuan,Postgraduate,13,Spontaneous,83.77,197,110.43,12,53,60,50,54.2,Low
AUD_94,1771,29,Female,Hubei,High School,4,Spontaneous,42.57,157,96.67,2,81,82,90,84.0,High
AUD_95,1821,36,Female,Guangdong,Undergraduate,7,Spontaneous,49.83,119,128.4,10,56,74,71,65.9,Medium
AUD_96,1476,22,Male,Jiangsu,High School,10,Reading,77.91,123,169.33,6,78,66,76,73.8,Medium
AUD_97,1702,34,Female,Jiangsu,High School,14,Reading,31.68,129,103.53,6,58,80,81,71.5,Medium
AUD_98,1401,43,Male,Henan,High School,12,Spontaneous,79.52,147,169.72,5,84,68,57,71.1,Medium
AUD_99,1729,40,Male,Beijing,Undergraduate,10,Reading,36.91,149,179.3,5,54,94,83,74.69999999999999,Medium
AUD_100,1555,43,Female,Shanghai,High School,5,Spontaneous,61.23,107,94.86,14,99,64,67,78.89999999999999,High
AUD_101,1161,18,Female,Guangdong,High School,4,Reading,68.0,182,134.57,14,70,93,53,71.8,Medium
AUD_102,1201,44,Male,Hubei,Undergraduate,11,Reading,83.35,196,119.6,2,66,98,50,70.8,Medium
AUD_103,1957,42,Male,Beijing,Postgraduate,5,Reading,62.53,81,125.43,10,88,84,93,88.30000000000001,High
AUD_104,1995,41,Male,Henan,Postgraduate,10,Spontaneous,51.73,170,130.65,10,63,88,65,71.1,Medium
AUD_105,1269,40,Male,Beijing,Postgraduate,4,Reading,60.06,52,156.57,14,81,51,79,71.39999999999999,Medium
AUD_106,1862,27,Male,Zhejiang,Undergraduate,5,Reading,34.15,178,143.22,5,64,83,72,72.1,Medium
AUD_107,1815,32,Male,Shanghai,Undergraduate,3,Spontaneous,68.24,97,176.51,11,70,74,80,74.2,Medium
AUD_108,1270,40,Female,Hubei,Postgraduate,13,Spontaneous,33.08,182,119.95,11,63,87,77,74.39999999999999,Medium
AUD_109,1455,38,Female,Shanghai,High School,8,Spontaneous,59.01,126,138.74,5,90,53,99,81.6,High
AUD_110,1461,38,Female,Guangdong,Postgraduate,9,Reading,65.33,60,163.2,13,65,65,86,71.3,Medium
AUD_111,1726,28,Male,Shanghai,Undergraduate,6,Reading,82.9,71,123.57,8,50,81,65,63.8,Medium
AUD_112,1251,30,Female,Beijing,High School,3,Reading,51.51,61,131.88,5,89,64,90,81.8,High
AUD_113,1701,22,Male,Shanghai,High School,5,Reading,74.27,102,151.65,2,67,91,58,71.5,Medium
AUD_114,1295,18,Male,Shanghai,Undergraduate,11,Reading,31.73,104,167.47,12,83,63,51,67.4,Medium
AUD_115,1724,41,Female,Jiangsu,High School,7,Reading,30.93,102,127.41,14,75,90,95,85.5,High
AUD_116,1719,29,Male,Hubei,Postgraduate,8,Spontaneous,56.74,70,137.88,10,85,64,92,80.8,High
AUD_117,1748,28,Male,Hubei,Undergraduate,6,Reading,61.74,68,177.76,3,70,56,51,60.099999999999994,Medium
AUD_118,1337,34,Male,Beijing,Undergraduate,3,Reading,64.26,137,93.82,6,50,56,81,61.099999999999994,Medium
AUD_119,1878,21,Male,Sichuan,Undergraduate,7,Reading,72.2,143,130.34,5,76,57,65,67.0,Medium
AUD_120,1052,32,Male,Shanghai,Undergraduate,7,Spontaneous,40.65,115,147.24,9,60,68,62,63.0,Medium
AUD_121,1791,42,Male,Shanghai,High School,7,Reading,63.58,108,90.76,7,87,67,98,84.30000000000001,High
AUD_122,1921,26,Female,Zhejiang,Undergraduate,8,Spontaneous,33.17,108,143.71,8,63,66,76,67.8,Medium
AUD_123,1216,38,Male,Hubei,Undergraduate,13,Reading,35.33,52,95.06,3,77,67,80,74.9,Medium
AUD_124,1763,37,Male,Shanghai,High School,4,Spontaneous,24.71,165,167.18,5,76,68,82,75.39999999999999,High
AUD_125,1187,36,Male,Hubei,Undergraduate,3,Spontaneous,72.29,107,162.64,5,71,89,70,76.1,High
AUD_126,1379,36,Male,Shanghai,High School,4,Spontaneous,55.49,111,92.9,13,70,62,68,67.0,Medium
AUD_127,1492,29,Female,Jiangsu,High School,12,Reading,36.67,195,94.39,14,73,60,97,76.3,High
AUD_128,1040,22,Female,Beijing,Undergraduate,8,Spontaneous,58.94,175,157.83,3,68,56,62,62.599999999999994,Medium
AUD_129,1156,27,Male,Hubei,Postgraduate,7,Reading,44.8,86,123.26,11,73,76,68,72.4,Medium
AUD_130,1014,34,Male,Guangdong,Undergraduate,7,Spontaneous,78.6,162,141.75,5,75,86,84,81.0,High
AUD_131,1812,22,Male,Beijing,Postgraduate,14,Reading,56.97,144,114.33,10,74,54,84,71.0,Medium
AUD_132,1064,39,Female,Zhejiang,High School,14,Spontaneous,22.09,127,105.57,9,94,57,82,79.3,High
AUD_133,1856,33,Female,Beijing,Postgraduate,8,Spontaneous,88.96,191,116.65,12,93,59,52,70.5,Medium
AUD_134,1838,24,Female,Shanghai,Undergraduate,12,Reading,25.2,154,112.2,2,78,86,97,86.1,High
AUD_135,1520,26,Female,Zhejiang,Undergraduate,9,Spontaneous,68.72,54,130.35,14,59,75,70,67.1,Medium
AUD_136,1343,20,Male,Beijing,Postgraduate,11,Reading,50.61,144,157.2,9,60,64,89,69.9,Medium
AUD_137,1128,32,Female,Henan,Undergraduate,9,Spontaneous,37.45,178,139.87,12,73,65,72,70.3,Medium
AUD_138,1647,33,Female,Zhejiang,Postgraduate,4,Spontaneous,67.35,112,144.83,10,73,78,97,81.7,High
AUD_139,1471,35,Male,Henan,High School,8,Reading,28.81,69,132.31,9,61,77,94,75.7,High
AUD_140,1062,31,Male,Guangdong,Postgraduate,11,Reading,80.08,92,119.23,11,56,59,94,68.3,Medium
AUD_141,1138,20,Female,Beijing,Postgraduate,9,Reading,37.54,134,102.92,2,89,89,60,80.3,High
AUD_142,1498,29,Female,Hubei,Postgraduate,4,Spontaneous,45.3,143,121.91,9,66,53,53,58.199999999999996,Low
AUD_143,1592,26,Female,Hubei,Postgraduate,5,Reading,64.29,91,149.87,13,84,95,53,78.0,High
AUD_144,1391,24,Female,Sichuan,High School,10,Reading,20.07,157,156.04,6,55,89,64,67.9,Medium
AUD_145,1674,26,Male,Shanghai,High School,13,Spontaneous,53.09,143,132.23,10,61,63,77,66.39999999999999,Medium
AUD_146,1418,30,Male,Henan,High School,11,Reading,82.6,123,148.05,10,64,93,85,79.0,High
AUD_147,1288,35,Female,Zhejiang,Postgraduate,6,Reading,67.63,158,108.95,7,81,82,57,74.1,Medium
AUD_148,1378,22,Female,Sichuan,High School,11,Spontaneous,47.15,164,167.41,4,72,67,73,70.8,Medium
AUD_149,1772,30,Female,Sichuan,Undergraduate,4,Spontaneous,66.23,174,167.93,13,56,61,83,65.6,Medium
AUD_150,1489,21,Female,Jiangsu,High School,13,Spontaneous,85.56,55,118.83,8,87,59,64,71.7,Medium
AUD_151,1230,19,Female,Henan,Postgraduate,7,Spontaneous,33.15,172,139.29,4,80,70,72,74.6,Medium
AUD_152,1040,33,Male,Zhejiang,Undergraduate,13,Spontaneous,57.23,91,144.6,8,78,82,76,78.6,High
AUD_153,1027,26,Male,Sichuan,Postgraduate,4,Reading,36.43,107,132.52,9,93,63,63,75.0,High
AUD_154,1134,26,Male,Jiangsu,Undergraduate,13,Spontaneous,79.8,59,172.0,6,77,58,51,63.5,Medium
AUD_155,1200,23,Female,Sichuan,Postgraduate,3,Spontaneous,70.47,138,156.57,6,61,75,84,72.10000000000001,Medium
AUD_156,1839,28,Female,Shanghai,Postgraduate,7,Spontaneous,76.08,127,150.53,5,76,64,92,77.2,High
AUD_157,1779,39,Male,Guangdong,Undergraduate,4,Reading,86.01,160,136.81,4,53,70,56,59.0,Low
AUD_158,1929,41,Male,Henan,High School,9,Reading,36.26,88,97.64,13,70,71,65,68.8,Medium
AUD_159,1032,39,Female,Jiangsu,Undergraduate,10,Reading,23.41,190,99.7,9,58,95,71,73.0,Medium
AUD_160,1047,18,Male,Guangdong,Undergraduate,4,Reading,40.36,60,116.91,12,98,90,77,89.3,High
AUD_161,1502,21,Female,Zhejiang,Undergraduate,9,Spontaneous,47.94,159,109.04,7,83,92,81,85.1,High
AUD_162,1406,30,Female,Shanghai,Undergraduate,6,Spontaneous,63.76,65,175.73,7,86,54,56,67.39999999999999,Medium
AUD_163,1573,40,Male,Jiangsu,Undergraduate,3,Spontaneous,75.84,82,126.88,3,70,93,71,77.2,High
AUD_164,1727,30,Male,Zhejiang,Postgraduate,13,Reading,44.49,108,168.89,5,72,65,92,75.89999999999999,High
AUD_165,1804,30,Male,Sichuan,Postgraduate,5,Spontaneous,53.14,100,163.63,6,73,84,51,69.7,Medium
AUD_166,1098,19,Female,Hubei,High School,13,Reading,74.98,64,163.13,12,59,54,57,56.89999999999999,Low
AUD_167,1683,26,Female,Beijing,High School,14,Reading,35.77,92,109.41,11,87,75,56,74.10000000000001,Medium
AUD_168,1871,41,Male,Zhejiang,Undergraduate,3,Reading,35.2,76,130.26,6,55,75,87,70.6,Medium
AUD_169,1725,25,Female,Guangdong,High School,7,Spontaneous,61.25,105,118.62,4,70,54,97,73.3,Medium
AUD_170,1986,24,Female,Shanghai,High School,10,Spontaneous,50.52,170,177.34,11,86,99,70,85.1,High
AUD_171,1546,21,Female,Shanghai,Undergraduate,3,Spontaneous,86.42,162,168.91,6,78,85,92,84.3,High
AUD_172,1960,35,Male,Zhejiang,Postgraduate,11,Spontaneous,44.99,109,112.49,6,89,73,71,78.8,High
AUD_173,1738,20,Female,Sichuan,Postgraduate,5,Reading,73.17,164,118.22,3,70,64,84,72.4,Medium
AUD_174,1612,23,Male,Beijing,High School,7,Spontaneous,60.82,158,137.6,6,71,79,67,72.2,Medium
AUD_175,1942,29,Male,Henan,Postgraduate,11,Reading,23.82,161,115.07,4,84,54,58,67.19999999999999,Medium
AUD_176,1461,29,Female,Guangdong,Postgraduate,7,Reading,25.91,149,164.21,4,95,89,98,94.1,High
AUD_177,1642,38,Male,Zhejiang,High School,11,Reading,34.22,57,163.73,6,54,97,51,66.0,Medium
AUD_178,1768,25,Female,Zhejiang,Undergraduate,12,Reading,30.02,184,155.19,10,64,71,91,74.2,Medium
AUD_179,1004,39,Male,Hubei,High School,10,Reading,43.06,130,152.04,3,90,82,91,87.89999999999999,High
AUD_180,1217,39,Male,Shanghai,High School,9,Reading,60.53,179,139.26,10,96,54,66,74.4,Medium
AUD_181,1502,18,Female,Guangdong,High School,13,Reading,62.17,194,121.24,4,68,81,89,78.2,High
AUD_182,1766,21,Male,Beijing,Undergraduate,3,Spontaneous,61.14,170,165.32,14,65,99,69,76.4,High
AUD_183,1397,38,Male,Shanghai,Undergraduate,6,Spontaneous,28.23,53,167.29,13,89,97,55,81.2,High
AUD_184,1870,28,Male,Zhejiang,Undergraduate,11,Reading,62.02,75,94.46,8,96,72,60,78.0,High
AUD_185,1794,20,Female,Shanghai,Undergraduate,12,Spontaneous,48.68,127,125.88,13,92,59,54,70.7,Medium
AUD_186,1392,30,Female,Shanghai,High School,10,Spontaneous,83.21,121,92.4,2,72,85,59,72.0,Medium
AUD_187,1206,42,Male,Jiangsu,Postgraduate,6,Spontaneous,83.84,182,165.55,2,53,99,72,72.5,Medium
AUD_188,1014,34,Male,Shanghai,High School,14,Spontaneous,73.77,177,105.94,9,70,66,82,72.39999999999999,Medium
AUD_189,1857,39,Male,Sichuan,Undergraduate,3,Reading,69.22,54,150.65,10,73,76,89,78.7,High
AUD_190,1553,39,Female,Shanghai,Postgraduate,12,Spontaneous,28.05,140,122.16,4,91,94,85,90.1,High
AUD_191,1891,27,Female,Henan,High School,6,Reading,25.93,118,163.45,7,75,57,88,73.5,Medium
AUD_192,1460,38,Male,Sichuan,Postgraduate,5,Reading,78.86,52,135.87,4,91,89,96,91.89999999999999,High
AUD_193,1690,29,Female,Guangdong,Undergraduate,8,Spontaneous,49.89,143,119.2,7,51,93,83,73.19999999999999,Medium
AUD_194,1574,32,Female,Shanghai,Postgraduate,13,Spontaneous,51.6,50,119.15,8,89,99,66,85.1,High
AUD_195,1863,38,Female,Beijing,Postgraduate,7,Reading,79.35,185,119.42,6,57,55,75,61.8,Medium
AUD_196,1742,27,Female,Sichuan,Undergraduate,7,Reading,63.5,62,160.97,4,58,56,97,69.1,Medium
AUD_197,1240,31,Male,Sichuan,Postgraduate,4,Spontaneous,32.56,161,154.0,9,51,75,76,65.7,Medium
AUD_198,1563,30,Female,Zhejiang,High School,14,Spontaneous,34.77,57,118.73,14,63,66,95,73.5,Medium
AUD_199,1095,22,Female,Guangdong,Postgraduate,5,Reading,20.45,162,134.12,6,69,86,52,69.0,Medium
AUD_200,1899,23,Male,Shanghai,High School,13,Spontaneous,69.75,128,96.85,2,51,72,68,62.4,Medium
AUD_201,1733,41,Male,Hubei,Postgraduate,8,Reading,53.99,171,164.48,13,53,76,57,61.099999999999994,Medium
AUD_202,1484,19,Female,Beijing,Postgraduate,4,Reading,86.5,123,113.94,10,84,89,66,80.1,High
AUD_203,1406,39,Female,Zhejiang,Undergraduate,6,Reading,69.98,176,170.03,4,63,68,99,75.3,High
AUD_204,1230,34,Male,Guangdong,Undergraduate,4,Reading,27.22,162,143.71,3,70,76,50,65.8,Medium
AUD_205,1748,21,Male,Henan,High School,11,Spontaneous,31.31,101,141.1,4,97,74,56,77.8,High
AUD_206,1654,31,Male,Sichuan,Undergraduate,5,Reading,55.12,170,104.64,8,64,89,85,77.8,High
AUD_207,1170,27,Female,Beijing,Undergraduate,12,Reading,84.74,82,96.26,13,88,74,52,73.0,Medium
AUD_208,1540,20,Female,Henan,Undergraduate,12,Spontaneous,37.31,122,139.74,12,99,70,68,81.0,High
AUD_209,1035,42,Male,Shanghai,Undergraduate,8,Spontaneous,77.79,145,132.12,13,69,74,91,77.1,High
AUD_210,1524,20,Female,Hubei,Undergraduate,3,Reading,41.86,86,100.77,11,55,56,76,61.599999999999994,Medium
AUD_211,1159,32,Male,Jiangsu,High School,13,Spontaneous,38.89,118,165.2,9,77,84,52,71.6,Medium
AUD_212,1838,23,Female,Jiangsu,High School,12,Spontaneous,83.1,181,127.55,3,97,55,83,80.2,High
AUD_213,1698,34,Male,Guangdong,Undergraduate,5,Reading,23.31,109,113.44,14,92,89,54,79.7,High
AUD_214,1242,29,Male,Hubei,Undergraduate,10,Spontaneous,66.25,123,160.94,8,51,99,98,79.5,High
AUD_215,1085,39,Female,Beijing,High School,7,Spontaneous,23.02,80,172.18,12,77,64,86,75.8,High
AUD_216,1795,37,Female,Zhejiang,Postgraduate,10,Spontaneous,76.05,63,117.54,6,83,73,95,83.6,High
AUD_217,1577,41,Female,Beijing,High School,4,Spontaneous,78.06,109,159.84,10,63,98,65,74.1,Medium
AUD_218,1681,28,Female,Hubei,Postgraduate,9,Spontaneous,82.53,117,148.73,8,58,53,63,58.0,Low
AUD_219,1556,42,Female,Henan,Undergraduate,11,Reading,33.03,177,179.08,2,72,56,79,69.3,Medium
AUD_220,1573,21,Female,Sichuan,Undergraduate,9,Spontaneous,28.71,75,108.36,2,93,79,81,85.2,High
AUD_221,1952,43,Male,Jiangsu,High School,5,Reading,55.25,186,176.46,7,84,66,94,81.60000000000001,High
AUD_222,1645,43,Female,Guangdong,Undergraduate,9,Reading,39.01,84,118.37,10,71,87,61,72.8,Medium
AUD_223,1795,23,Male,Shanghai,Postgraduate,10,Spontaneous,62.44,155,127.08,2,54,79,76,68.1,Medium
AUD_224,1027,18,Male,Beijing,Postgraduate,3,Spontaneous,55.96,73,122.29,4,90,94,75,86.7,High
AUD_225,1619,37,Female,Jiangsu,High School,5,Spontaneous,30.14,132,114.16,14,78,88,97,86.7,High
AUD_226,1555,40,Male,Zhejiang,Postgraduate,7,Spontaneous,71.75,85,152.39,6,84,58,78,74.4,Medium
AUD_227,1339,33,Male,Guangdong,High School,14,Spontaneous,76.26,150,143.02,5,99,68,72,81.6,High
AUD_228,1797,32,Female,Shanghai,High School,8,Spontaneous,87.41,83,117.51,2,83,62,98,81.19999999999999,High
AUD_229,1957,34,Female,Beijing,Postgraduate,5,Spontaneous,47.69,170,101.9,11,53,96,71,71.3,Medium
AUD_230,1330,25,Female,Zhejiang,Postgraduate,6,Spontaneous,43.64,88,118.56,5,94,98,69,87.7,High
AUD_231,1639,43,Male,Shanghai,Postgraduate,7,Spontaneous,33.46,72,124.31,5,98,86,87,91.1,High
AUD_232,1505,29,Female,Sichuan,Postgraduate,5,Spontaneous,32.66,129,124.26,12,58,68,95,72.1,Medium
AUD_233,1347,44,Female,Jiangsu,Postgraduate,6,Spontaneous,42.47,119,122.15,13,63,55,65,61.2,Medium
